ratio,variables,gens II,gens I1,gens I2,CoCoALib,BDD,M2
435,50,419,419,435,4.444,0.390618,0.153532
373.087,50,392,390,375,3.6724,0.344399,0.114421
371,60,499,499,371,4.05724,0.542911,0.239125
751,70,640,640,751,42.6983,1.73386,0.897287
805,80,636,636,805,97.3826,3.1196,0.84912
7.38462,10,13,12,8,9.2e-05,6.2e-05,0.000273
21.0435,15,23,22,22,0.001103,0.000524,0.000547
34.6316,20,38,28,47,0.002514,0.001885,0.001054
40,25,61,61,40,0.016504,0.005472,0.001963
48.7826,30,46,44,51,0.009919,0.006132,0.002566
27.3514,35,74,46,44,0.006725,0.00628,0.00282
84,40,31,31,84,0.005545,0.007842,0.001945
67,45,60,60,67,0.036372,0.01856,0.00379
13,12,16,16,13,0.000205,0.000121,0.000356
41,18,30,30,41,0.003575,0.001191,0.000815
48,24,69,69,48,0.009615,0.004764,0.001989
100,30,43,43,100,0.020411,0.008772,0.002544
56.0541,36,222,102,122,0.067734,0.0282,0.025269
99,42,80,80,99,0.054465,0.026285,0.008446
104,48,129,129,104,0.256469,0.053007,0.012081
102,54,111,111,102,0.193081,0.058806,0.01536
13,14,21,21,13,0.000244,0.000176,0.000353
52.1591,21,44,45,51,0.004208,0.002407,0.001146
81.6667,28,96,98,80,0.060085,0.012986,0.005468
170,35,147,147,170,0.263708,0.055596,0.022274
154,42,182,182,154,0.270521,0.074514,0.037713
141.253,49,190,189,142,0.52156,0.094449,0.034531
201,56,149,149,201,0.656036,0.133008,0.030577
153,63,184,184,153,0.977883,0.15686,0.046637
26,16,21,21,26,0.000827,0.000389,0.000476
54.375,24,64,60,58,0.009506,0.003843,0.001668
133,32,84,84,133,0.080372,0.022268,0.006459
153,40,42,42,153,0.027067,0.014234,0.004067
265,48,290,290,265,3.09888,0.279586,0.090536
323,56,271,271,323,3.40199,0.359704,0.083648
374,64,272,272,374,3.80524,0.476689,0.116642
486,72,363,363,486,21.8429,1.30587,0.430193
32,18,29,29,32,0.001981,0.00064,0.000693
50.5909,27,66,63,53,0.014604,0.005194,0.002156
159,36,141,141,159,0.183439,0.043935,0.012066
290,45,295,295,290,1.53717,0.179331,0.07597
343,54,313,313,343,3.90987,0.340317,0.098582
464,63,350,350,464,17.7569,1.09469,0.294469
589,72,368,368,589,26.3982,1.32959,0.414323
392,81,406,406,392,10.5957,0.870954,0.285845
38.3514,20,37,43,33,0.001447,0.000915,0.000776
123,30,87,87,123,0.048538,0.015528,0.004984
168,40,186,186,168,0.928897,0.093497,0.027164
485,50,323,323,485,4.5328,0.40355,0.113763
472,60,500,500,472,10.7392,0.791275,0.315874
791,70,475,475,791,32.0871,1.59899,0.499029
827,80,716,716,827,47.9552,2.64876,1.00951
574,90,1021,1021,574,139.164,3.97472,2.3033
32,22,41,41,32,0.004168,0.00111,0.001028
152,33,172,172,152,0.431806,0.044582,0.021345
315.822,44,292,290,318,1.61711,0.200199,0.101394
351,55,300,300,351,1.88919,0.286519,0.103081
680,66,787,787,680,126.686,2.89322,0.823934
752,77,738,738,752,82.327,2.70091,0.755625
1261,88,1167,1167,1261,578.175,10.7963,3.57802
