ratio,variables,gens II,gens I1,gens I2,CoCoALib,BDD,M2
4.55172,50,145,22,30,0.001064,2.4e-05,0.000333
4.0553,60,217,55,16,0.000356,7e-06,0.000448
5.12925,70,147,29,26,0.000425,1e-05,0.000363
6.41096,80,73,18,26,0.000245,8e-06,0.000244
5.61224,90,98,25,22,0.000322,1.2e-05,0.000234
4.94291,100,508,81,31,0.001699,1.7e-05,0.001627
6.89655,110,87,30,20,0.00035,8e-06,0.0002
2.63874,120,1337,49,72,0.00326,4.7e-05,0.004484
2.99394,130,165,26,19,0.000344,8e-06,0.000374
3.87324,140,497,55,35,0.001454,1.9e-05,0.001499
5.50459,55,218,30,40,0.000464,1.3e-05,0.000602
5.61224,66,686,70,55,0.002437,3.4e-05,0.002592
6,77,264,36,44,0.000921,1.5e-05,0.000795
4.15183,88,191,13,61,0.000462,5e-06,0.000489
3.57143,99,126,25,18,0.000266,1e-05,0.000267
2.88807,110,679,37,53,0.001527,3e-05,0.001864
5.02174,121,46,21,11,0.000163,2e-06,0.000124
5.9027,132,185,42,26,0.000714,1.2e-05,0.000526
2.46276,143,631,37,42,0.001296,1.8e-05,0.001749
4.41199,154,267,31,38,0.000896,1.3e-05,0.000603
4.84615,60,234,42,27,0.000448,1.1e-05,0.000524
4.00685,72,146,15,39,0.000329,8e-06,0.000341
4.98214,84,112,31,18,0.000304,5e-06,0.000251
7.02128,96,188,44,30,0.000772,1.1e-05,0.000482
4.37915,108,211,33,28,0.000569,1.9e-05,0.00052
5.14107,120,319,40,41,0.001085,1.7e-05,0.000863
3.94345,132,336,25,53,0.000978,1.8e-05,0.000802
6.89908,144,327,47,48,0.001583,1.7e-05,0.000846
4.81481,156,108,20,26,0.000358,9e-06,0.000285
6.18182,168,209,38,34,0.001119,1.5e-05,0.00061
6.10714,65,224,36,38,0.000739,1.3e-05,0.000482
6.62112,78,161,26,41,0.000588,1e-05,0.000464
5.82273,91,440,42,61,0.001621,1.9e-05,0.001427
6.59502,104,442,55,53,0.001907,2.3e-05,0.001358
4.80435,117,276,26,51,0.000915,1.2e-05,0.000704
3.58816,130,777,68,41,0.002263,2.2e-05,0.002403
5.78075,143,187,47,23,0.000774,1.2e-05,0.000484
6.94436,156,629,78,56,0.003472,4.4e-05,0.002229
4.51613,169,155,35,20,0.000523,9e-06,0.000357
4.30017,182,573,56,44,0.002166,3.8e-05,0.001778
4.62865,70,719,104,32,0.002248,1.7e-05,0.001802
10.2632,84,361,57,65,0.002205,2.8e-05,0.000954
5.14315,98,482,37,67,0.001649,2e-05,0.001425
5.67925,112,212,43,28,0.000754,1.2e-05,0.000482
6.79915,126,468,37,86,0.002293,1.9e-05,0.001517
4.13283,140,527,66,33,0.001699,2.2e-05,0.001241
3.90106,154,566,23,96,0.00186,1.2e-05,0.001912
4.77273,168,660,30,105,0.002727,2e-05,0.002182
4.70728,182,673,88,36,0.002822,1.7e-05,0.002169
3.87788,196,1302,99,51,0.005142,5e-05,0.004437
5.5,75,284,71,22,0.000956,1e-05,0.000585
6.70588,90,578,76,51,0.002586,2.7e-05,0.001449
8.05556,105,126,35,29,0.000612,7e-06,0.000322
7.13453,120,223,43,37,0.00103,1.4e-05,0.000532
5.65848,135,896,78,65,0.004012,3.8e-05,0.003185
6.03922,150,306,42,44,0.001345,2.2e-05,0.000834
7.07123,165,1095,87,89,0.006946,6.1e-05,0.004698
4.63911,180,762,35,101,0.003176,3.3e-05,0.002815
8.10236,195,254,42,49,0.00163,1.5e-05,0.000712
5.73913,210,230,30,44,0.001071,1.5e-05,0.000636
6.92308,80,962,90,74,0.004518,3.8e-05,0.003641
7.57394,96,2103,181,88,0.0138,0.000102,0.009465
6.09569,112,836,49,104,0.003891,2.4e-05,0.002872
10.1338,128,411,49,85,0.002837,3.1e-05,0.001328
7.04607,144,369,50,52,0.001869,2.4e-05,0.001119
3.85642,160,3371,125,104,0.016173,0.000132,0.016838
5.24167,176,720,74,51,0.003312,3.3e-05,0.002138
5.0973,192,2076,143,74,0.012183,6e-05,0.00867
7.34624,208,465,61,56,0.003409,2.9e-05,0.001484
8.18152,224,303,37,67,0.002197,2.2e-05,0.000961
11.3922,85,487,73,76,0.003391,3.1e-05,0.002229
13.25,102,336,84,53,0.002808,2.1e-05,0.000915
4.7482,119,834,72,55,0.00311,3.9e-05,0.002632
4.17079,136,445,29,64,0.001337,1.4e-05,0.0011
6.73469,153,1764,99,120,0.011694,5.8e-05,0.009175
6.69489,170,1606,192,56,0.0107,7.6e-05,0.005812
6.68402,187,557,51,73,0.003172,2.7e-05,0.001727
7.85765,204,1124,138,64,0.00886,4.4e-05,0.004304
9.81172,221,478,70,67,0.004867,3.5e-05,0.002467
5.78224,238,1295,72,104,0.009185,6.6e-05,0.006383
12.3026,90,1322,107,152,0.012221,6.9e-05,0.007185
4.1402,108,2739,189,60,0.011393,6e-05,0.010423
9.15014,126,706,85,76,0.004884,3e-05,0.002733
7.20829,144,941,133,51,0.005606,3.4e-05,0.002897
4.46353,162,1234,108,51,0.005133,4.4e-05,0.003888
4.85023,180,1529,72,103,0.007523,4.1e-05,0.006997
7.92267,198,569,92,49,0.004112,3.6e-05,0.001518
8.31292,216,1355,128,88,0.012027,5e-05,0.005512
7.91547,234,698,85,65,0.005302,4.5e-05,0.002863
6.96514,252,832,61,95,0.00593,3.5e-05,0.00385
10.003,95,664,82,81,0.004628,4.7e-05,0.002786
6.78571,114,658,95,47,0.003239,3.2e-05,0.001954
5.50635,133,551,41,74,0.00228,2e-05,0.001692
5.58785,152,1975,89,124,0.010498,0.000145,0.008244
8.40778,171,1079,126,72,0.008252,5e-05,0.004744
10.2722,190,1455,141,106,0.015159,7.7e-05,0.006906
6.56432,209,1446,113,84,0.010161,7.2e-05,0.00669
6.54018,228,3036,136,146,0.025844,0.000128,0.022153
9.97481,247,794,99,80,0.007967,3.3e-05,0.003012
4.00066,266,3031,94,129,0.018982,0.00014,0.016528
10.948,100,1135,218,57,0.009176,4.9e-05,0.004049
5.93254,120,919,58,94,0.004156,4.7e-05,0.003457
4.73425,140,365,24,72,0.001272,1e-05,0.001027
5.68399,160,712,57,71,0.003375,2.5e-05,0.001935
9.0105,180,2571,234,99,0.0265,7.3e-05,0.014305
6.0639,200,4194,136,187,0.038626,0.000107,0.026844
6.43578,220,436,46,61,0.002543,1.6e-05,0.001312
3.46429,240,5236,97,187,0.0314,0.000119,0.027092
4.8006,260,1991,162,59,0.011952,8.5e-05,0.008833
8.41001,280,939,53,149,0.009095,4.1e-05,0.003846
6.68427,105,1742,71,164,0.010081,6.2e-05,0.007592
9.08502,126,988,88,102,0.007201,4.3e-05,0.004565
8.72386,147,1387,100,121,0.010682,8.1e-05,0.005954
8.36872,168,1055,81,109,0.007961,4.2e-05,0.004353
4.09831,189,4557,203,92,0.027545,0.000197,0.020957
6.45997,210,2348,158,96,0.018506,8.8e-05,0.011666
9.4681,231,1442,123,111,0.015101,7.6e-05,0.008676
8.12208,252,1753,113,126,0.016182,9.9e-05,0.010152
7.73849,273,4302,137,243,0.054991,0.000284,0.032154
9.71037,294,984,105,91,0.011233,7.6e-05,0.004219
9.03543,110,2738,173,143,0.023886,0.000125,0.013419
12.0493,132,3326,233,172,0.046327,0.000135,0.020343
5.42702,154,4063,75,294,0.027765,9.7e-05,0.023591
9.15838,176,1307,126,95,0.011413,6.4e-05,0.005469
8.71909,198,3122,167,163,0.033826,0.000117,0.02088
9.76836,220,3717,247,147,0.056538,0.000172,0.031973
6.04376,242,3702,198,113,0.032036,0.000157,0.021763
7.38075,264,1434,63,168,0.012585,5.7e-05,0.007945
5.82805,286,1326,46,168,0.009051,3.3e-05,0.004458
