ratio,variables,gens I_dual,gens I1,CoCoALib,BDD,M2
2,2,2,1,6.2e-05,3e-06,0.000242
3,3,3,1,1.6e-05,3e-06,0.000262
4,4,4,1,1.9e-05,5e-06,0.000295
2,5,2,1,1.4e-05,3e-06,0.000216
5,6,5,1,2.1e-05,6e-06,0.000337
1,7,1,1,1.2e-05,2e-06,0.000171
6,8,6,1,2.3e-05,5e-06,0.000375
8,9,8,1,2.6e-05,6e-06,0.000446
5,10,5,1,2.1e-05,5e-06,0.000335
9,11,9,1,2.9e-05,8e-06,0.000485
8,12,8,1,2.4e-05,7e-06,0.000451
10,13,10,1,3e-05,9e-06,0.00051
1,14,1,1,1.3e-05,2e-06,0.00017
2,4,2,1,1.4e-05,3e-06,0.000216
3,6,3,2,1.9e-05,5e-06,0.000263
11,8,11,4,4.3e-05,1.3e-05,0.000596
12,10,12,4,4.6e-05,1.3e-05,0.000642
19,12,19,5,8.7e-05,2.8e-05,0.000901
18,14,18,4,8.2e-05,2.4e-05,0.000906
22,16,22,3,6.4e-05,2.3e-05,0.00104
22,18,22,4,0.000114,3.5e-05,0.001028
18,20,18,3,6.9e-05,2.3e-05,0.000879
25,22,25,4,0.000106,3.6e-05,0.001169
24,24,24,2,5.8e-05,2.3e-05,0.001154
57,26,57,6,0.000446,0.000164,0.002552
61,28,61,7,0.000521,0.000206,0.002879
3,6,3,3,2.2e-05,7e-06,0.000327
9,9,9,5,4.6e-05,1.5e-05,0.000631
15,12,15,7,8.1e-05,2.3e-05,0.00086
22,15,22,8,0.000159,4.3e-05,0.001131
16,18,16,3,5e-05,1.6e-05,0.000839
53,21,53,13,0.000486,0.00017,0.002587
62,24,62,14,0.000624,0.000234,0.037931
77,27,77,13,0.000865,0.000336,0.038944
118,30,118,20,0.002472,0.000681,0.005999
128,33,128,25,0.003238,0.000969,0.006063
106,36,106,16,0.00137,0.000669,0.005166
37,39,37,6,0.00016,7.4e-05,0.001866
101,42,101,10,0.001025,0.000414,0.005234
