ratio,variables,gens II,gens I1,gens I2,CoCoALib,BDD,M2
12.6923,50,52,22,30,3e-05,1.7e-05,1.8e-05
12.3944,60,71,55,16,1.3e-05,4e-06,2.2e-05
13.7091,70,55,29,26,1e-05,8e-06,1.7e-05
10.6364,80,44,18,26,2.1e-05,7e-06,1.6e-05
11.7021,90,47,25,22,1e-05,8e-06,1.5e-05
22.4196,100,112,81,31,2.9e-05,1.5e-05,4.2e-05
12,110,50,30,20,1.1e-05,8e-06,1.4e-05
29.157,120,121,49,72,3.8e-05,4.5e-05,4.6e-05
10.9778,130,45,26,19,8e-06,8e-06,1.5e-05
21.3889,140,90,55,35,1.6e-05,1.6e-05,3.1e-05
17.1429,55,70,30,40,1.6e-05,1.2e-05,2.1e-05
30.8,66,125,70,55,2e-05,3e-05,4.7e-05
19.8,77,80,36,44,2.2e-05,1.4e-05,2.7e-05
10.7162,88,74,13,61,2.3e-05,2e-06,2e-05
10.4651,99,43,25,18,9e-06,1.6e-05,1.5e-05
21.7889,110,90,37,53,2.3e-05,2.7e-05,3.3e-05
7.21875,121,32,21,11,7e-06,5e-06,1.1e-05
16.0588,132,68,42,26,1.9e-05,7e-06,2.4e-05
19.6709,143,79,37,42,2.1e-05,1.5e-05,2.7e-05
17.0725,154,69,31,38,2.1e-05,8e-06,2.2e-05
16.4348,60,69,42,27,1.4e-05,8e-06,2.1e-05
10.8333,72,54,15,39,1.3e-05,9e-06,1.7e-05
11.3878,84,49,31,18,1e-05,1.3e-05,1.4e-05
17.8378,96,74,44,30,1.2e-05,9e-06,2.2e-05
15.1475,108,61,33,28,1.2e-05,1.2e-05,1.9e-05
20.2469,120,81,40,41,2.1e-05,1.9e-05,2.7e-05
16.9872,132,78,25,53,1.7e-05,1.6e-05,2.5e-05
23.7474,144,95,47,48,2.4e-05,1.3e-05,2.8e-05
11.3043,156,46,20,26,1.4e-05,6e-06,1.6e-05
17.9444,168,72,38,34,1.3e-05,9e-06,2.3e-05
18.4865,65,74,36,38,2.2e-05,1e-05,2e-05
15.9104,78,67,26,41,1.5e-05,7e-06,2.3e-05
24.8738,91,103,42,61,2.4e-05,1.5e-05,3.4e-05
26.9907,104,108,55,53,1.7e-05,1.8e-05,3.5e-05
17.2208,117,77,26,51,2.1e-05,9e-06,2.7e-05
25.578,130,109,68,41,1.7e-05,1.8e-05,4.2e-05
15.4429,143,70,47,23,2e-05,8e-06,2.1e-05
32.597,156,134,78,56,2.4e-05,3.2e-05,4.5e-05
12.7273,169,55,35,20,1.1e-05,6e-06,1.6e-05
24.64,182,100,56,44,1.9e-05,3.2e-05,3.6e-05
24.4706,70,136,104,32,2.1e-05,1.3e-05,5.1e-05
30.3689,84,122,57,65,2.8e-05,2.2e-05,3.7e-05
23.8365,98,104,37,67,2.3e-05,1.8e-05,3.2e-05
16.9577,112,71,43,28,1.2e-05,1e-05,1.9e-05
25.8699,126,123,37,86,2.4e-05,1.3e-05,4.4e-05
22,140,99,66,33,2.8e-05,1.8e-05,3.7e-05
18.5546,154,119,23,96,3.4e-05,8e-06,4e-05
23.3333,168,135,30,105,5e-05,1.3e-05,4e-05
25.5484,182,124,88,36,2.7e-05,1.4e-05,4.6e-05
33.66,196,150,99,51,3.3e-05,4.3e-05,5.7e-05
16.7957,75,93,71,22,1.6e-05,5e-06,2.7e-05
30.5197,90,127,76,51,2e-05,2.3e-05,3.8e-05
15.8594,105,64,35,29,1.5e-05,9e-06,2.1e-05
19.8875,120,80,43,37,1.3e-05,1e-05,2.3e-05
35.4545,135,143,78,65,2.7e-05,3.2e-05,4.9e-05
21.4884,150,86,42,44,2.2e-05,2e-05,2.9e-05
43.9943,165,176,87,89,4.8e-05,5.3e-05,6.2e-05
25.9926,180,136,35,101,2.8e-05,2.4e-05,4.5e-05
22.6154,195,91,42,49,2.7e-05,1.2e-05,2.6e-05
17.8378,210,74,30,44,2.2e-05,1.1e-05,2.3e-05
40.6098,80,164,90,74,2.3e-05,3.1e-05,5.6e-05
59.2119,96,269,181,88,4e-05,8.8e-05,9.4e-05
33.3072,112,153,49,104,3.3e-05,1.9e-05,5.8e-05
31.0821,128,134,49,85,3e-05,2.3e-05,4.1e-05
25.4902,144,102,50,52,2.8e-05,2e-05,3.2e-05
56.7686,160,229,125,104,4.2e-05,0.000117,9.2e-05
30.192,176,125,74,51,2.2e-05,2.7e-05,4.1e-05
48.765,192,217,143,74,4.1e-05,5.8e-05,7.6e-05
29.1966,208,117,61,56,3.8e-05,1.6e-05,4.3e-05
